GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
747936527,20180416,201804,2018,2018.2904,IND,DELHI,IND,,,,,,,,,,,,,,,,,,1,193,193,19,4,-10.0,6,1,6,-1.29032258064516,4,"Ghaziabad, Uttar Pradesh, India",IN,IN36,70265,28.6667,77.4333,-2096227,0,,,,,,,,4,"Ghaziabad, Uttar Pradesh, India",IN,IN36,70265,28.6667,77.4333,-2096227,20180416070000,https://navbharattimes.indiatimes.com/movie-masti/news-from-bollywood/poonam-dhillon-coming-back-to-films-after-five-years-to-play-mom/articleshow/63780159.cms
747936889,20180416,201804,2018,2018.2904,SYR,SYRIA,SYR,,,,,,,,,,,,,,,,,,0,138,138,13,3,-7.0,2,1,2,-3.93664104355929,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,0,,,,,,,,4,"Paris, France (general), France",FR,FR00,16282,48.8667,2.33333,-1456928,20180416070000,http://fax.al/news/15530244/trump-serish-godet-mediat
747936577,20180416,201804,2018,2018.2904,JUD,JUDGE,,,,,,JUD,,,,,,,,,,,,,0,120,120,12,3,-4.0,10,1,10,1.8783542039356,4,"San Salvador, San Salvador, El Salvador",ES,ES10,15758,13.7086,-89.2031,-1148082,0,,,,,,,,4,"San Salvador, San Salvador, El Salvador",ES,ES10,15758,13.7086,-89.2031,-1148082,20180416070000,http://elmundo.sv/probidad-esta-haciendo-un-buen-trabajo-necesita-fortalecerse-mas/
747936198,20180416,201804,2018,2018.2904,CVLCVL,NEIGHBORHOOD,,,,,,CVL,CVL,,,,,,,,,,,,1,190,190,19,4,-10.0,2,1,2,-6.47249190938511,4,"Luhansk, Luhans'ka Oblast', Ukraine",UP,UP14,25090,48.567,39.3171,-1045160,0,,,,,,,,4,"Donbass, Ukraine (general), Ukraine",UP,UP00,25090,48.5,38.5,-1038077,20180416070000,http://podrobnosti.ua/2236470-na-donbas-vshanuvali-pamjat-zagiblih-vonv.html
747936054,20180416,201804,2018,2018.2904,BGR,BULGARIA,BGR,,,,,,,,,,,,,,,,,,1,050,050,05,1,3.5,8,1,8,-0.6,4,"Sofia, Sofiya-Grad, Bulgaria",BU,BU42,12028,42.6833,23.3167,-838489,0,,,,,,,,4,"Sofia, Sofiya-Grad, Bulgaria",BU,BU42,12028,42.6833,23.3167,-838489,20180416070000,http://www.rtvbn.com/3903972/sarovic-ne-zivi-se-od-galame-
747936969,20180416,201804,2018,2018.2904,TUR,TURKEY,TUR,,,,,,,,,,,,,,,,,,1,111,111,11,3,-2.0,4,1,4,5.5363321799308,4,"Ozalp, Van, Turkey",TU,TU65,28347,38.6548,43.993,-767404,0,,,,,,,,4,"Anatolia, Turkey (general), Turkey",TU,TU00,28356,39.0,35.0,-735281,20180416070000,http://www.gercekgundem.com/gezi-mekan/10260/ferah-avrupai-ve-lezzetli
747936770,20180416,201804,2018,2018.2904,PRTGOV,PORTUGUESE,PRT,,,,,GOV,,,,,,,,,,,,,0,051,051,05,1,3.4,4,1,4,1.6,1,Portugal,PO,PO,,39.5,-8.0,PO,0,,,,,,,,4,"Salamanca, Castilla y LeóP, Spain",SP,SP55,25796,40.9681,-5.66202,-400105,20180416070000,http://www.diariosigloxxi.com/texto-s/mostrar/276158/presidente-portugal-visita-desde-hoy-espana
747936080,20180416,201804,2018,2018.2904,BUS,COMPANY,,,,,,BUS,,,,,,,,,,,,,0,090,090,09,2,-2.0,4,1,4,-1.05170902716915,1,Mauritius,MP,MP,,16.0,146.0,MP,0,,,,,,,,1,Mauritius,MP,MP,,16.0,146.0,MP,20180416070000,http://www.5plus.mu/actualite/allegations-contre-jean-claude-bastos-laffaire-quantum-global-en-questions
747936143,20180416,201804,2018,2018.2904,COP,PRISON,,,,,,COP,,,,,,,,,,,,,1,020,020,02,1,3.0,10,1,10,-9.80769230769232,4,"Madrid, Madrid, Spain",SP,SP29,25820,40.4,-3.68333,-390625,0,,,,,,,,4,"Madrid, Madrid, Spain",SP,SP29,25820,40.4,-3.68333,-390625,20180416070000,http://www.diariosigloxxi.com/texto-s/mostrar/276153/ocho-jovenes-enfrentan-desde-hoy-375-anos-prision-agresion-guardias-civiles-alsasua
747936381,20180416,201804,2018,2018.2904,GOV,GOVERNMENT,,,,,,GOV,,,,,,,,,,,,,1,120,120,12,3,-4.0,10,1,10,-1.97044334975369,1,Venezuela,VE,VE,,8.0,-66.0,VE,0,,,,,,,,1,Venezuela,VE,VE,,8.0,-66.0,VE,20180416070000,https://www.aporrea.org/internacionales/a261877.html
747936477,20180416,201804,2018,2018.2904,GOVEDU,DEPARTMENT OF EDUCATION,,,,,,GOV,EDU,,,,,,,,,,,,0,020,020,02,1,3.0,20,2,20,3.1836920789879,1,United Kingdom,UK,UK,,54.0,-4.0,UK,0,,,,,,,,1,United Kingdom,UK,UK,,54.0,-4.0,UK,20180416070000,http://www.lavozdigital.es/espana/castilla-leon/abci-junta-implicara-empresas-formacion-y-propuesta-master-201804160836_noticia.html
747936789,20180416,201804,2018,2018.2904,REB,REBELLION,,,,,,REB,,,,,,,,,,,,,0,173,173,17,4,-5.0,4,1,4,-4.32862190812721,4,"Berlin, Berlin, Germany",GM,GM16,16538,52.5167,13.4,-1746443,0,,,,,,,,1,Switzerland,SZ,SZ,,47.0,8.0,SZ,20180416070000,http://www.ondacero.es/noticias/espana/juez-llarena-comunica-este-lunes-procesamiento-jordi-sanchez-oriol-junqueras-jordi-cuixart-rebelion_201804165ad43a8c0cf2e6c5e745f976.html
747936234,20180416,201804,2018,2018.2904,EDU,INTELLECTUAL,,,,,,EDU,,,,,,,,,,,,,0,040,040,04,1,1.0,2,1,2,-1.43927679314857,1,Syria,SY,SY,,35.0,38.0,SY,0,,,,,,,,1,Syria,SY,SY,,35.0,38.0,SY,20180416070000,https://www.augsburger-allgemeine.de/politik/Weniger-als-ein-Drittel-Frauenanteil-in-der-Bundesregierung-waechst-kaum-id42915776.html
747936829,20180416,201804,2018,2018.2904,RUS,RUSSIA,RUS,,,,,,,,,,,,,,,,,,0,175,175,17,4,-9.0,4,1,4,-14.9572649572649,1,Russia,RS,RS,,60.0,100.0,RS,0,,,,,,,,1,Russia,RS,RS,,60.0,100.0,RS,20180416070000,http://alfajertv.com/news/4018173.html
747936613,20180416,201804,2018,2018.2904,LBN,LEBANESE,LBN,,,,,,,,,,,,,,,,,,0,043,043,04,1,2.8,1,1,1,0.0,1,Qatar,QA,QA,,25.5,51.25,QA,0,,,,,,,,1,Qatar,QA,QA,,25.5,51.25,QA,20180416070000,http://www.alufuqnews.com/Akhbar-As-Swdyh/508598.html
747936724,20180416,201804,2018,2018.2904,MNCUSAGOV,XEROX,USA,,,,,MNC,GOV,,,,,,,,,,,,1,040,040,04,1,1.0,6,1,6,-1.65562913907284,1,France,FR,FR,,46.0,2.0,FR,0,,,,,,,,1,France,FR,FR,,46.0,2.0,FR,20180416070000,http://www.zonebourse.com/FUJIFILM-HOLDINGS-CORP-6492326/actualite/FUJIFILM-Nouveau-recours-de-Deason-contre-Xerox-26356645/
